Total items: 68
Current groups:
  Удобрение: 68

Inventory:
01. Контур, ВР | group=Удобрение | dv=Железо 4%, цинк 1,5%, магний 5,4%, медь 1,5%, марганец 4%, молибден 0,1% | rate=0,1-0,2
02. Контур Антистресс, ВР | group=Удобрение | dv=Комплекс L-аминокислот 45,0 г/л, арахидоновая кислота, Fe, Zn, Mg | rate=0,1-0,2
03. Контур Аргент, ВР | group=Удобрение | dv=Комплекс L-аминокислот 40,0 г/л, ионы серебра, Fe, Zn, Mg | rate=0,1-0,2
04. Контур Профи, ВР | group=Удобрение | dv=Азот (амидная форма) 80,0 г/л, фосфор 30,0 г/л, янтарная к-та, Fe, Zn, Mg | rate=0,1-0,2
05. Контур Рост, ВР | group=Удобрение | dv=Комплекс L-аминокислот 66,0 г/л, янтарная к-та, Fe, Zn, Mg | rate=0,1-0,2
06. Контур Старт, ВР | group=Удобрение | dv=Янтарная к-та, арахидоновая к-та, Fe, Zn, Mg | rate=0,1-0,2
07. КлопЭфир Интенсив | group=Удобрение | dv=КлопЭфир КЭ (2,4-Д 410 г/л + клопиралид 40 г/л) + Флагман КС (флорасулам 150 г/л)  4 л + 0,45 л | rate=12-16 га
08. КлопЭфир Микс | group=Удобрение | dv=КлопЭфир КЭ (2,4-Д 410 г/л + клопиралид 40 г/л) + Сталкер ВДГ (трибенурон-метил 750 г/кг)  4 л + 0,12 кг | rate=10-12 га
09. Триатлон Плюс | group=Удобрение | dv=Элант Премиум КЭ (2,4-Д 420 + дикамба 60 г/л) + Сталкер ВДГ (трибенурон-метил 750 г/кг)  4,5 л + 0,15 кг | rate=10-12 га
10. Триатлон Экстра | group=Удобрение | dv=Элант Премиум КЭ (2,4-Д 420 + дикамба 60 г/л) + Флагман КС (флорасулам 150 г/л)  4 л + 0,45 л | rate=13-17 га
11. Адвокат, ВР | group=Удобрение | dv=480 г/л дикамбы к-ты | rate=0,15-0,5
12. Актеон супер*, ВР | group=Удобрение | dv=Клопиралид + Пиклорам + аминопиралид (267 + 80 + 17 г/л) | rate=0,2-0,3
13. Актеон, ВР | group=Удобрение | dv=267 г/л клопиралид + 67 г/л пиклорам | rate=0,3-0,35
14. Царумин, ВРК | group=Удобрение | dv=500 г/л МЦПА | rate=0,5-1,5
15. Богдэн, ВДГ | group=Удобрение | dv=750 г/кг трибенурон-метил | rate=0,015-0,050
16. Р-Прадо/Гольф, ВРК | group=Удобрение | dv=100 г/л имазетапир | rate=0,5-0,75
17. Гуарил, ВДГ | group=Удобрение | dv=750 г/кг клопиралид | rate=0,12
18. Ибис, ЭМВ | group=Удобрение | dv=69 г/л феноксапроп-П-этил + 34,5 г/л антидот | rate=0,8-1,0
19. Софт, КЭ | group=Удобрение | dv=125 г/л хизалофоп-П-этил | rate=0,4-1,2
20. Клегал, МКЭ | group=Удобрение | dv=130 г/л клетодима + 80 г/л галоксифоп-Р-этила | rate=0,4-0,8
21. КлопЭфир, КЭ | group=Удобрение | dv=410 г/л 2,4-Д кислота + 40 г/л клопиралид | rate=0,6-0,8
22. Кратерр, КС | group=Удобрение | dv=500 г/л прометрин | rate=1,5-3,0
23. МетАлт, ВДГ | group=Удобрение | dv=600 г/кг метсульфурон-метил | rate=0,008-0,01
24. Орель, ВР | group=Удобрение | dv=40 г/л имазамокс | rate=0,75-1,0
25. Р-Галситил, КЭ | group=Удобрение | dv=104 г/л галоксифоп-Р-метил | rate=0,5-1,0
26. Злак Супер, КЭ | group=Удобрение | dv=104 г/л галоксифоп-Р-метил | rate=0,5-1,0
27. Ромул, ВДГ | group=Удобрение | dv=250 г/кг римсульфурон | rate=0,02-0,05
28. Сикурс, ВР | group=Удобрение | dv=480 г/л бентазон | rate=2,0-3,0
29. Стратег, КС | group=Удобрение | dv=40 г/л никосульфурон | rate=1,0-1,5
